x,y,cov
88.1975,90.4193,0.102644
77.7999,90.3646,0.357273
77.217,92.1028,0.515741
75.3734,92.1826,0.466347
60.5943,91.2775,0.313493
53.9474,87.81,0.21133
52.6985,82.3742,0.105853
44.0278,72.9264,0.112204
45.1015,64.5994,0.0991084
47.0677,56.6306,0.304919
50.4459,44.0948,0.28038
64.6127,28.1089,0.10432
64.4822,26.7866,0.0975208
73.4699,15.0176,0.124842
85.2218,5.78935,0.143745
10.0,10.0,10.0
