to,from,x,y,cov,cost
134,133,68.6898,34.8532,0.102,47.7492
135,147,73.3645,40.4754,0.141234,55.6456
136,135,69.1494,33.0519,0.135248,64.1822
137,14268,77.4607,19.5629,0.120021,59.6212
138,137,69.8125,35.2665,0.103384,77.0882
139,14269,65.2132,39.0886,0.2768,62.8539
140,139,70.1958,34.5026,0.170956,69.6257
141,149,64.7887,33.8182,0.660863,74.6328
142,141,68.4245,34.4818,0.510565,78.3286
143,96,65.4638,37.2945,0.218709,45.5131
144,143,70.5702,33.7685,0.106034,51.7187
145,14270,71.8468,33.8936,0.872327,43.3424
146,145,69.5857,35.5658,0.12043,46.1547
147,9299,66.083,38.1452,0.200801,48.0004
148,147,68.6275,34.4803,0.169782,52.462
149,8227,58.4598,32.6113,1.89764,68.1898
150,149,67.8194,32.5358,0.120117,77.5496
151,14271,67.7095,35.3425,0.252067,41.9406
152,151,68.8576,33.5551,0.0986858,44.0649
153,4275,67.5413,47.265,0.897264,55.9438
154,153,69.8497,34.2424,0.410606,69.1694
155,9051,74.2165,34.5992,0.437599,55.8613
156,155,67.7214,32.1755,0.118023,62.7939
157,269,73.7759,28.6385,1.34241,112.154
158,157,69.8797,36.6978,1.80732,121.106
159,27,74.0834,31.3635,1.22747,37.7337
160,159,69.9627,33.5754,0.101475,42.4105
161,14272,73.5549,27.7069,0.206019,58.9405
162,161,67.6324,30.1782,0.115387,65.358
163,4098,72.1505,44.4047,0.170108,71.2536
164,163,67.6539,31.3277,0.099542,85.0821
165,14036,66.4469,28.4494,0.139205,60.7349
166,165,67.622,29.8463,0.0980264,62.5603
167,108,65.8578,29.8325,0.176793,100.203
168,1420,75.0759,38.7318,0.0970946,46.485
169,168,66.4678,30.6357,0.15022,58.3023
170,118,67.9798,29.8684,0.103726,43.114
171,37,66.8676,30.9428,0.116969,46.4238
172,756,66.6756,24.7347,0.296633,33.5643
173,172,68.5117,30.2666,0.126783,39.3929
174,149,65.4572,28.6719,0.262514,76.2199
175,616,75.8895,49.1222,0.384198,71.1738
176,175,70.6577,31.2679,0.101761,89.7789
177,535,66.7136,34.6103,0.637175,90.5299
178,177,68.7878,31.1073,0.273597,94.6009
179,135,68.8717,42.0344,0.113192,60.4011
180,179,70.4924,31.3392,0.157818,71.2184
181,7,75.3936,20.2731,0.32267,40.1157
182,181,69.0793,30.5154,0.0980555,52.1479
183,65,69.8715,32.3841,0.0972987,94.6771
184,382,59.7362,31.6319,0.370256,43.2983
185,184,68.5531,31.1741,0.133643,52.127
186,7882,64.4783,29.7125,0.0974174,40.551
187,186,69.5042,32.9877,0.0972515,46.5499
188,177,70.587,33.6863,0.0983849,94.512
189,388,70.138,34.5003,1.15367,108.221
190,189,69.7418,30.6202,0.125119,112.121
191,37,69.9616,32.9248,0.100667,46.0921
192,175,79.0636,45.7572,0.48686,75.7997
193,192,70.7806,31.7998,1.0239,92.0298
194,290,67.7081,43.9147,0.889248,101.464
195,194,70.412,30.8556,1.42758,114.8
196,23,70.1483,31.2087,0.0996583,37.114
197,397,66.1186,24.4432,1.0539,46.5871
198,197,71.1074,32.1762,1.05494,55.7897
199,8486,61.2215,30.2121,1.10429,46.1204
200,199,70.2672,30.7899,0.293713,55.1845
